Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
SS003,Tư tưởng Hồ Chí Minh,2,Môn đại cương,
SS007,Triết học Mác – Lênin,3,Môn đại cương,
SS008,Kinh tế chính trị Mác – Lênin,2,Môn đại cương,
SS009,Chủ nghĩa xã hội khoa học,2,Môn đại cương,
SS010,Lịch sử Đảng Cộng sản Việt Nam,2,Môn đại cương,
SS006,Pháp luật đại cương,2,Môn đại cương,
MA006,Giải tích,4,Môn đại cương,
MA003,Đại số tuyến tính,3,Môn đại cương,
MA004,Cấu trúc rời rạc,4,Môn đại cương,
MA005,Xác suất thống kê,3,Môn đại cương,
IT001,Nhập môn lập trình,4,Môn đại cương,
ENG01,Anh văn 1,4,Môn đại cương,
ENG02,Anh văn 2,4,Môn đại cương,
ENG03,Anh văn 3,4,Môn đại cương,
PE231,Giáo dục thể chất 1,Tính riêng,Môn đại cương,
PE232,Giáo dục thể chất 2,Tính riêng,Môn đại cương,
ME001,Giáo dục quốc phòng,Tính riêng,Môn đại cương,
SS004,Kỹ năng nghề nghiệp,2,Môn đại cương,
IT002,Lập trình hướng đối tượng,4,Môn cơ sở ngành,
IT003,Cấu trúc dữ liệu và giải thuật,4,Môn cơ sở ngành,
IT004,Cơ sở dữ liệu,4,Môn cơ sở ngành,
IT005,Nhập môn mạng máy tính,4,Môn cơ sở ngành,
IT012,Tổ chức và cấu trúc máy tính II,4,Môn cơ sở ngành,
IT007,Hệ điều hành,4,Môn cơ sở ngành,
IE005,Giới thiệu ngành Công nghệ Thông tin,1,Môn cơ sở ngành,
IE101,Cơ sở hạ tầng công nghệ thông tin,3,Môn cơ sở ngành,
IE103,Quản lý thông tin,4,Môn cơ sở ngành,
IE104,Internet và công nghệ Web,4,Môn cơ sở ngành,
IE105,Nhập môn bảo đảm và an ninh thông tin,4,Môn cơ sở ngành,
IE106,Thiết kế giao diện người dùng,4,Môn cơ sở ngành,
IE108,Phân tích thiết kế phần mềm,4,Môn cơ sở ngành,
IS402,Điện toán đám mây,3,Môn cơ sở ngành,
IE201,Xử lý dữ liệu thống kê,3,Môn chuyên ngành,
IE212,Công nghệ Dữ liệu lớn,4,Môn chuyên ngành,
IS217,Kho dữ liệu và OLAP,3,Môn chuyên ngành,
IS254,Hệ hỗ trợ ra quyết định,3,Môn chuyên ngành,
IE221,Kỹ thuật lập trình Python,4,Môn chuyên ngành,
